"movie","subject"
"http://dbpedia.org/resource/Raging_Bull","http://dbpedia.org/resource/Category:Boxing_films"
"http://dbpedia.org/resource/Raging_Bull","http://dbpedia.org/resource/Category:English-language_films"
"http://dbpedia.org/resource/Raging_Bull","http://dbpedia.org/resource/Category:Films_about_Italian-American_culture"
"http://dbpedia.org/resource/Raging_Bull","http://dbpedia.org/resource/Category:Films_based_on_biographies"
"http://dbpedia.org/resource/Raging_Bull","http://dbpedia.org/resource/Category:Films_directed_by_Martin_Scorsese"
"http://dbpedia.org/resource/Raging_Bull","http://dbpedia.org/resource/Category:Films_featuring_a_Best_Actor_Academy_Award-winning_performance"
"http://dbpedia.org/resource/Raging_Bull","http://dbpedia.org/resource/Category:Films_featuring_a_Best_Drama_Actor_Golden_Globe_winning_performance"
"http://dbpedia.org/resource/Raging_Bull","http://dbpedia.org/resource/Category:Films_produced_by_Irwin_Winkler"
"http://dbpedia.org/resource/Raging_Bull","http://dbpedia.org/resource/Category:Films_produced_by_Robert_Chartoff"
"http://dbpedia.org/resource/Raging_Bull","http://dbpedia.org/resource/Category:Films_set_in_Cleveland"
"http://dbpedia.org/resource/Raging_Bull","http://dbpedia.org/resource/Category:Films_set_in_Miami"
"http://dbpedia.org/resource/Raging_Bull","http://dbpedia.org/resource/Category:Films_set_in_Michigan"
"http://dbpedia.org/resource/Raging_Bull","http://dbpedia.org/resource/Category:Films_set_in_New_York_City"
"http://dbpedia.org/resource/Raging_Bull","http://dbpedia.org/resource/Category:Films_set_in_the_1940s"
"http://dbpedia.org/resource/Raging_Bull","http://dbpedia.org/resource/Category:Films_set_in_the_1950s"
"http://dbpedia.org/resource/Raging_Bull","http://dbpedia.org/resource/Category:Films_set_in_the_1960s"
"http://dbpedia.org/resource/Raging_Bull","http://dbpedia.org/resource/Category:Films_shot_in_Los_Angeles"
"http://dbpedia.org/resource/Raging_Bull","http://dbpedia.org/resource/Category:Films_shot_in_New_York_City"
"http://dbpedia.org/resource/Raging_Bull","http://dbpedia.org/resource/Category:Films_shot_partially_in_color"
"http://dbpedia.org/resource/Raging_Bull","http://dbpedia.org/resource/Category:Films_whose_editor_won_the_Best_Film_Editing_Academy_Award"
"http://dbpedia.org/resource/Raging_Bull","http://dbpedia.org/resource/Category:Screenplays_by_Paul_Schrader"
"http://dbpedia.org/resource/Raging_Bull","http://dbpedia.org/resource/Category:United_Artists_films"
"http://dbpedia.org/resource/Raging_Bull","http://dbpedia.org/resource/Category:United_States_National_Film_Registry_films"
"http://dbpedia.org/resource/Casino_(film)","http://dbpedia.org/resource/Category:1990s_crime_drama_films"
"http://dbpedia.org/resource/Casino_(film)","http://dbpedia.org/resource/Category:Films_based_on_actual_events"
"http://dbpedia.org/resource/Casino_(film)","http://dbpedia.org/resource/Category:Films_featuring_a_Best_Drama_Actress_Golden_Globe-winning_performance"
"http://dbpedia.org/resource/Casino_(film)","http://dbpedia.org/resource/Category:Films_set_in_1973"
"http://dbpedia.org/resource/Casino_(film)","http://dbpedia.org/resource/Category:Films_set_in_the_Las_Vegas_Valley"
"http://dbpedia.org/resource/Casino_(film)","http://dbpedia.org/resource/Category:Heist_films"
"http://dbpedia.org/resource/Casino_(film)","http://dbpedia.org/resource/Category:Films_about_Jewish-American_organized_crime"
"http://dbpedia.org/resource/Casino_(film)","http://dbpedia.org/resource/Category:Films_about_the_Chicago_Outfit"
"http://dbpedia.org/resource/Casino_(film)","http://dbpedia.org/resource/Category:1995_films"
"http://dbpedia.org/resource/Casino_(film)","http://dbpedia.org/resource/Category:Adultery_in_films"
"http://dbpedia.org/resource/Casino_(film)","http://dbpedia.org/resource/Category:American_crime_drama_films"
"http://dbpedia.org/resource/Casino_(film)","http://dbpedia.org/resource/Category:American_epic_films"
"http://dbpedia.org/resource/Casino_(film)","http://dbpedia.org/resource/Category:American_films"
"http://dbpedia.org/resource/Casino_(film)","http://dbpedia.org/resource/Category:English-language_films"
"http://dbpedia.org/resource/Casino_(film)","http://dbpedia.org/resource/Category:Fiction_narrated_by_a_dead_person"
"http://dbpedia.org/resource/Casino_(film)","http://dbpedia.org/resource/Category:Films_about_drugs"
"http://dbpedia.org/resource/Casino_(film)","http://dbpedia.org/resource/Category:Films_about_psychopaths"
"http://dbpedia.org/resource/Casino_(film)","http://dbpedia.org/resource/Category:Films_directed_by_Martin_Scorsese"
"http://dbpedia.org/resource/Casino_(film)","http://dbpedia.org/resource/Category:Films_set_in_California"
"http://dbpedia.org/resource/Casino_(film)","http://dbpedia.org/resource/Category:Films_shot_in_San_Diego"
"http://dbpedia.org/resource/Casino_(film)","http://dbpedia.org/resource/Category:Gambling_films"
"http://dbpedia.org/resource/Casino_(film)","http://dbpedia.org/resource/Category:Obscenity_controversies_in_film"
"http://dbpedia.org/resource/Casino_(film)","http://dbpedia.org/resource/Category:Universal_Pictures_films"
"http://dbpedia.org/resource/Casino_(film)","http://dbpedia.org/resource/Category:Films_about_Italian-American_organized_crime"
"http://dbpedia.org/resource/Casino_(film)","http://dbpedia.org/resource/Category:Films_based_on_non-fiction_books_about_organized_crime"
"http://dbpedia.org/resource/Casino_(film)","http://dbpedia.org/resource/Category:Films_set_in_1980"
"http://dbpedia.org/resource/Casino_(film)","http://dbpedia.org/resource/Category:Films_set_in_1983"
"http://dbpedia.org/resource/Casino_(film)","http://dbpedia.org/resource/Category:Films_set_in_Missouri"
"http://dbpedia.org/resource/Casino_(film)","http://dbpedia.org/resource/Category:Gangster_films"
"http://dbpedia.org/resource/Shine_a_Light_(film)","http://dbpedia.org/resource/Category:Concert_films"
"http://dbpedia.org/resource/Shine_a_Light_(film)","http://dbpedia.org/resource/Category:2008_films"
"http://dbpedia.org/resource/Shine_a_Light_(film)","http://dbpedia.org/resource/Category:The_Rolling_Stones_films"
"http://dbpedia.org/resource/Shine_a_Light_(film)","http://dbpedia.org/resource/Category:2000s_documentary_films"
"http://dbpedia.org/resource/Shine_a_Light_(film)","http://dbpedia.org/resource/Category:American_films"
"http://dbpedia.org/resource/Shine_a_Light_(film)","http://dbpedia.org/resource/Category:English-language_films"
